timestamp,x,y,z
1509765511158063,-1.875,-0.5625,0.8125
1509765511173074,-1.6875,-0.5,0.1875
1509765511177923,-1.5625,0.125,-0.3125
1509765511200942,-0.5,0.875,-0.6875
1509765511222958,1.1875,1.0625,-0.625
1509765511237968,1.375,1.1875,-0.0625
1509765511260985,-0.375,0.8125,0.3125
1509765511282659,-0.9375,0.6875,0.125
1509765511297684,0.625,1,-0.125
1509765511320697,1.0625,0.9375,0.375
1509765511342713,0.5625,0.6875,0
1509765511358236,1.3125,0.75,-0.125
1509765511380892,1.6875,0.5,0
1509765511410933,1.6875,0.4375,-0.3125
1509765511419940,1.9375,0.625,0.1875
1509765511443958,1.4375,0.8125,0.8125
1509765511463455,-0.0625,-0.1875,0.125
1509765511478474,0.5,-0.375,0.5625
1509765511500499,0.0625,-0.1875,1.375
1509765511523515,2.0625,-0.5625,0.5625
1509765511538526,1.25,-1.125,0.6875
1509765511561048,2,-1.5,0.6875
1509765511583441,2.25,-1.5625,0.8125
1509765511598452,0.6875,-0.9375,0.3125
1509765511620472,0.8125,-0.125,0.8125
1509765511643497,0.9375,-0.0625,0.8125
1509765511658491,0.3125,0.6875,0.375
1509765511680514,0,1.6875,0.3125
1509765511703529,-1.0625,1.4375,0.0625
1509765511719541,-1.0625,1.75,0.4375
1509765511740562,-0.375,1.75,0.125
1509765511763577,0.0625,1.75,-0.75
1509765511779351,-0.125,0.75,-0.0625
1509765511800365,0,0.125,0.3125
1509765511823383,0.25,-0.5,-0.3125
1509765511839394,0.25,0,-1.375
1509765511860913,0,-0.0625,-1.5
1509765511882965,0.9375,-0.5625,-1.875
1509765511899978,0.625,-1.4375,-1.75
1509765511920991,-0.4375,-1.25,-1.3125
1509765511943008,-0.6875,-1.4375,-2.0625
1509765511966026,0.125,-0.3125,-2.5625
1509765511980539,0.1875,-0.0625,-1.9375
1509765511998551,-0.125,-0.25,-1.375
1509765512019566,-0.75,-0.3125,-0.625
1509765512040580,-1.375,0,-1
1509765512058595,-1.9375,-0.1875,-0.375
1509765512081251,-2.0625,-0.0625,-0.125
1509765512100263,-2.5,-0.125,-0.0625
1509765512123278,-2.1875,-0.8125,-0.9375
1509765512141310,-0.375,-0.25,-1.125
1509765512160821,0.4375,-0.25,-1
1509765512186351,0,-0.8125,-0.375
1509765512201361,-0.1875,0,-0.1875
1509765512220375,0.1875,0.0625,-0.75
1509765512238392,-0.5,0.75,-0.375
1509765512261404,0.625,0.6875,-0.5
1509765512280530,0.8125,0.4375,-0.25
1509765512298543,0.4375,0.375,-0.4375
1509765512320572,1.0625,0.1875,-0.25
1509765512340574,0.5625,0.0625,0.0625
1509765512358586,0.5625,0,0.1875
1509765512380690,1.375,0.125,0.1875
1509765512400700,0.8125,0.0625,0.0625
1509765512418713,1.25,-0.125,0.1875
1509765512440722,0.3125,-0.0625,0.5625
1509765512460750,-0.875,-0.5,0.4375
1509765512485842,-0.625,-0.375,0.3125
1509765512500864,0.125,-0.5625,0.5625
1509765512520877,-0.25,-0.875,0.625
1509765512538894,-0.75,-1.25,0.5625
1509765512561412,-1.625,-0.9375,0.8125
1509765512581008,-0.5,-0.9375,0.8125
1509765512599021,-0.75,-0.6875,1.0625
1509765512621037,-1.4375,-0.375,0.8125
1509765512642042,-1.75,-0.0625,0.4375
1509765512658062,-1.125,0.6875,0.5
1509765512680264,-0.375,0.375,-0.125
1509765512701297,-0.125,0.1875,-0.5
1509765512718288,-1.375,0.8125,-0.5625
1509765512741325,-1.3125,0.875,-1.0625
1509765512761844,-2.375,1.0625,-1.375
1509765512777454,-1.3125,1.0625,-1
1509765512800466,-1.125,0.0625,-1.125
1509765512821505,-1.3125,0.1875,-1.25
1509765512837490,-0.625,-0.25,-1.625
1509765512860506,0.1875,0.25,-1
1509765512881701,-0.4375,0.3125,-0.25
1509765512897712,-1.3125,0.125,-0.375
1509765512927736,-1.875,0.0625,-0.6875
1509765512948760,-1.1875,0.4375,-0.3125
1509765512956751,0.75,-0.375,-1.125
1509765512979881,0.875,-0.375,-1.0625
1509765513002906,-0.125,0,-0.4375
1509765513017917,0.1875,-0.4375,-0.6875
1509765513039924,-0.875,-0.625,-1.25
1509765513062953,-0.875,-0.3125,-0.875
1509765513078012,-0.375,-1.1875,-1.25
1509765513100029,-0.5,-1.125,-1.375
1509765513123049,-1.9375,-0.8125,-1
1509765513137055,-1.625,-0.3125,-0.875
1509765513160071,-1.1875,0,-0.8125
1509765513183172,-0.875,0.1875,-0.25
1509765513197181,0.5625,0,-0.25
1509765513220196,1.4375,0.75,0.6875
1509765513250221,-0.3125,0.75,0.75
1509765513257223,0.625,0,0.4375
1509765513280799,0,-0.1875,0.8125
1509765513302814,0.625,-0.5625,0.3125
1509765513316830,1.5,-0.6875,0.3125
1509765513340848,2.125,-0.625,0.375
1509765513362872,2.4375,-0.9375,0.5625
1509765513376882,2.9375,-1.125,1.125
1509765513399933,2.75,-0.625,1.6875
1509765513422929,2.3125,-0.8125,1.5625
1509765513436931,1.5,-0.5,2.3125
1509765513459959,1.5,-1.125,1.75
1509765513482749,2.25,-0.875,2.25
1509765513503790,-0.0625,-0.4375,2.3125
1509765513520791,1.125,-0.875,2
1509765513542792,-0.1875,-1.0625,2.0625
1509765513564339,0,-0.5625,2.4375
1509765513580458,0.375,-0.625,2
1509765513602468,-0.375,0.1875,2.1875
1509765513623509,-0.1875,0.0625,1.75
1509765513640501,0.4375,0,1.4375
1509765513663048,0.1875,0,1.125
1509765513685089,-0.0625,0,0.5
1509765513700100,-0.4375,0,0.5
1509765513723113,-0.3125,0.125,0.25
1509765513744154,-0.625,-0.125,-0.125
1509765513760138,-1.375,-0.0625,-0.375
1509765513783181,0.3125,0,-0.6875
1509765513804220,0.25,0.3125,-1.0625
1509765513820204,-2,0.375,-0.5
1509765513843223,-1.6875,0.3125,-0.125
1509765513864259,-2.375,-0.1875,0.25
1509765513879896,-3.125,0.3125,0.5
1509765513902897,-2.4375,-0.125,0.4375
1509765513925913,-1.25,-0.375,0.375
1509765513939919,-0.125,-0.5625,1.25
1509765513962959,1.125,-0.5,1.375
1509765513985477,2.125,-0.25,1
1509765514000493,3.125,-0.6875,0.9375
1509765514022503,5.625,-0.9375,0.8125
1509765514045526,4.625,-0.4375,1.5
1509765514060541,2.1875,-0.375,1.6875
1509765514083173,1.6875,-0.5625,1.0625
1509765514105181,1.125,-0.4375,1.6875
1509765514119201,1.375,-0.1875,1.75
1509765514143212,1.0625,-1.125,1.3125
1509765514165737,-0.9375,-1.5,2.5
1509765514180322,-2.1875,-1.5625,3.625
1509765514202342,-3,-0.75,3.6875
1509765514225343,-3.0625,0.25,3.25
1509765514246398,-1,1.75,3.75
1509765514268893,1.1875,1.8125,4
1509765514292469,3.375,2.3125,3.25
1509765514299455,5.3125,2.875,3
1509765514322491,5.9375,3,3.1875
1509765514345479,5.4375,3.1875,3.1875
1509765514359515,4.625,3.1875,4.1875
1509765514382755,5.3125,3.8125,4.25
1509765514405776,6,4.1875,4.125
1509765514426787,4.375,3.3125,5.4375
1509765514442823,1.1875,2.875,6.25
1509765514465316,1.9375,2.75,5.875
1509765514485925,2.375,3.25,5.5625
1509765514502915,4.4375,3.625,6.1875
1509765514524926,3.4375,2.375,6.9375
1509765514546942,1.875,1.1875,7.9375
1509765514562953,2.75,0.375,7.25
1509765514593204,5.4375,0.375,5.8125
1509765514614236,8.5625,0.875,7.0625
1509765514630228,8.5,1.3125,8.8125
1509765514645239,7.75,0.8125,8.8125
1509765514668283,7.4375,1.6875,9.4375
1509765514682807,6.8125,1.5625,10.4375
1509765514704824,8.125,0.75,10.5625
1509765514725858,9.125,0.625,11.3125
1509765514742850,10,-0.0625,11.8125
1509765514772911,10.0625,0.4375,12.3125
1509765514786523,10.0625,1.0625,13
1509765514802522,10.375,1.5625,13.9375
1509765514825540,9.875,1.9375,14.0625
1509765514846559,9.25,1.5,14.3125
1509765514862567,10.4375,1,13.125
1509765514885123,12.625,0.3125,12.1875
1509765514908141,8.9375,0.5625,11.6875
1509765514938145,8.3125,0.0625,12.5625
1509765514953168,7.125,0.375,13.5
1509765514968196,6.3125,-0.5625,13.6875
1509765514983208,2.5,-1,13.6875
1509765515005214,-0.8125,-1.125,13.5625
1509765515028232,-3.0625,-2.0625,13.0625
1509765515042240,-1.375,-2.375,11.1875
1509765515065264,1.75,-2.8125,10.625
1509765515087843,1.5625,-2.875,10.75
1509765515101840,-0.0625,-2.25,9.8125
1509765515124866,-1.0625,-2.4375,9.0625
1509765515147886,-0.25,-1.625,6.8125
1509765515161881,0.9375,-1.5625,5.25
1509765515191047,1.8125,-1.5,4.3125
1509765515208059,2.3125,-1.5625,3.1875
1509765515222059,-0.0625,-2.5625,1.9375
1509765515246075,-0.125,-2.125,0.0625
1509765515267613,0.9375,-1.0625,-0.4375
1509765515281651,1.8125,-1.1875,-0.75
1509765515305659,0.625,-1.1875,-0.875
1509765515327670,-2.75,-0.875,-1.6875
1509765515341680,-3.0625,-0.3125,-2.375
1509765515365736,-3.75,-0.5625,-2.4375
1509765515387331,-3.4375,-0.3125,-2.5
1509765515409328,-2.6875,0.9375,-2.5
1509765515425352,-3,1.3125,-3.3125
1509765515447374,-5.3125,1.875,-3.5
1509765515468911,-7.8125,1.6875,-2.375
1509765515485482,-7.3125,1.875,-2.5
1509765515513518,-3.9375,2.5,-2.6875
1509765515528511,-2.1875,3.1875,-2
1509765515545558,-4.1875,3.875,0.125
1509765515568118,-6.3125,4.125,-0.5
1509765515588994,-5.6875,3.9375,-1.1875
1509765515605004,-3.6875,4.4375,-1.8125
1509765515628049,-2.8125,4.3125,-1.125
1509765515649050,-1.5625,4.25,-1.8125
1509765515665559,-0.1875,4.1875,-2.625
1509765515687701,1.1875,3.5625,-1.75
1509765515708739,0.75,2.5625,-0.8125
1509765515715744,-1.625,2.0625,-0.25
1509765515730748,-1.3125,1.9375,-1.125
1509765515752768,-0.5625,2.3125,-0.4375
1509765515775803,-1.25,2.625,1.4375
1509765515790876,-3.3125,1.875,3.6875
1509765515812918,-2.125,1.5,4.1875
1509765515835934,-1.125,2.25,3.0625
1509765515857951,-0.0625,2.25,5.4375
1509765515873494,-0.125,2.375,6.0625
1509765515896087,-0.875,1.9375,5.5
1509765515911128,0.4375,1.9375,5.125
