timestamp,x,y,z,w
1509765500807627,-0.593323,-0.729797,-0.293945,-0.170593
1509765500830644,-0.592896,-0.729675,-0.294617,-0.171143
1509765500844654,-0.592529,-0.729675,-0.295227,-0.171631
1509765500868177,-0.592102,-0.729614,-0.295898,-0.17218
1509765500890192,-0.591736,-0.729553,-0.296509,-0.172668
1509765500904201,-0.591431,-0.729431,-0.297119,-0.173096
1509765500928218,-0.591064,-0.72937,-0.297852,-0.173462
1509765500950737,-0.590698,-0.729309,-0.298401,-0.173828
1509765500964249,-0.590332,-0.729309,-0.299011,-0.174194
1509765500988267,-0.590027,-0.729248,-0.299438,-0.1745
1509765501010283,-0.589722,-0.729309,-0.299866,-0.174744
1509765501024293,-0.589417,-0.72937,-0.300171,-0.174988
1509765501047809,-0.58905,-0.729553,-0.300293,-0.175293
1509765501070234,-0.588684,-0.729736,-0.300293,-0.175598
1509765501084245,-0.588318,-0.729919,-0.300354,-0.175903
1509765501108262,-0.587952,-0.730042,-0.30072,-0.176331
1509765501130277,-0.587585,-0.730164,-0.300903,-0.176575
1509765501144291,-0.587219,-0.730408,-0.300964,-0.176819
1509765501167865,-0.586792,-0.73053,-0.301208,-0.177185
1509765501189864,-0.586548,-0.730469,-0.301697,-0.177368
1509765501210879,-0.586243,-0.73053,-0.302063,-0.177551
1509765501227895,-0.585999,-0.730591,-0.302368,-0.177612
1509765501250432,-0.585999,-0.730591,-0.302368,-0.177673
1509765501271450,-0.585938,-0.730591,-0.302368,-0.177734
1509765501287454,-0.585938,-0.730591,-0.302368,-0.177734
1509765501310474,-0.585938,-0.730591,-0.302368,-0.177734
1509765501331502,-0.585815,-0.730713,-0.302246,-0.177856
1509765501348039,-0.585693,-0.730835,-0.302002,-0.177979
1509765501370108,-0.585571,-0.731018,-0.30188,-0.17804
1509765501391124,-0.58551,-0.731201,-0.301575,-0.177917
1509765501408149,-0.585449,-0.731506,-0.301147,-0.177795
1509765501430150,-0.585449,-0.731689,-0.300781,-0.177551
1509765501451710,-0.58551,-0.73175,-0.300659,-0.177429
1509765501468274,-0.585449,-0.73175,-0.30072,-0.177429
1509765501490287,-0.585449,-0.731689,-0.30072,-0.177429
1509765501511327,-0.585571,-0.731689,-0.300598,-0.17749
1509765501527340,-0.585693,-0.731567,-0.300598,-0.177612
1509765501550365,-0.585815,-0.731506,-0.300476,-0.177551
1509765501570881,-0.58606,-0.731384,-0.300476,-0.17749
1509765501587894,-0.586182,-0.731262,-0.300354,-0.177551
1509765501609909,-0.586365,-0.73114,-0.300293,-0.177612
1509765501632936,-0.586548,-0.730957,-0.300354,-0.177673
1509765501647967,-0.586731,-0.730957,-0.300171,-0.17749
1509765501670573,-0.586914,-0.731079,-0.299683,-0.177185
1509765501692580,-0.587097,-0.731079,-0.299438,-0.17688
1509765501707594,-0.58728,-0.731079,-0.299316,-0.176514
1509765501730616,-0.587402,-0.731079,-0.299255,-0.176147
1509765501753132,-0.587524,-0.73114,-0.299072,-0.175781
1509765501767149,-0.587585,-0.73114,-0.299072,-0.175598
1509765501790166,-0.587585,-0.73114,-0.299072,-0.175598
1509765501813184,-0.587585,-0.73114,-0.299133,-0.175598
1509765501827192,-0.587585,-0.73114,-0.299133,-0.175598
1509765501850772,-0.587524,-0.73114,-0.299194,-0.175659
1509765501872887,-0.587524,-0.731079,-0.299194,-0.175659
1509765501886879,-0.587524,-0.731079,-0.299255,-0.175659
1509765501909921,-0.587524,-0.731079,-0.299255,-0.175659
1509765501932914,-0.587708,-0.730896,-0.299316,-0.175659
1509765501946921,-0.587708,-0.730896,-0.299316,-0.17572
1509765501969993,-0.587708,-0.730896,-0.299316,-0.17572
1509765501993027,-0.58783,-0.730835,-0.299255,-0.175781
1509765502007019,-0.58783,-0.730835,-0.299255,-0.175781
1509765502030041,-0.58783,-0.730835,-0.299255,-0.175781
1509765502053095,-0.58783,-0.730835,-0.299255,-0.17572
1509765502067608,-0.58783,-0.730835,-0.299255,-0.175781
1509765502090606,-0.58783,-0.730835,-0.299255,-0.175781
1509765502112639,-0.58783,-0.730835,-0.299255,-0.175781
1509765502133637,-0.58783,-0.730835,-0.299255,-0.175781
1509765502150678,-0.58783,-0.730896,-0.299194,-0.175659
1509765502155681,-0.58783,-0.730896,-0.299194,-0.175659
1509765502177685,-0.58783,-0.730835,-0.299194,-0.175659
1509765502195697,-0.58783,-0.730835,-0.299255,-0.175659
1509765502216712,-0.587891,-0.730835,-0.299194,-0.175537
1509765502237728,-0.587891,-0.730835,-0.299194,-0.175537
